RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
274756,North Valley,San Jose,CA,San Jose,Santa Clara,41,569200,577300,586500,597300,604800,611200,617500,624000,631900,646800,667200,686100,695800
115003,Evergreen,San Jose,CA,San Jose,Santa Clara,42,643900,651100,659300,668700,674900,679900,689600,702200,711200,722700,739900,753300,757700
34213,Sylmar,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,43,383100,386300,390600,394900,398400,400400,401700,403700,405800,407900,411700,414900,415700
118987,Willow Glen,San Jose,CA,San Jose,Santa Clara,44,846400,853900,857400,864400,872500,879600,888600,899400,914100,934900,961000,986800,1002700
275950,West,Arlington,TX,Dallas-Fort Worth,Tarrant,45,124800,126100,127100,128100,129200,130100,130600,132300,134900,137200,137700,137200,136800
270318,North Raleigh,Raleigh,NC,Raleigh,Wake,46,135200,136100,137600,138800,139400,139900,140900,142500,144400,147300,151500,155100,156700
33183,Northridge,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,47,425600,428200,432900,436200,438200,440000,441500,443700,447200,451200,456400,460200,461500
54300,San Pedro,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,48,478800,481800,485800,489100,491400,491900,492000,493900,497600,503000,509400,512500,513200
343228,Southwest,Chula Vista,CA,San Diego,San Diego,49,326500,328800,330100,331700,334200,337200,338800,340000,341600,344900,346400,347500,349500
118872,West Anaheim,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,50,362300,363800,363000,362500,363700,363800,363000,363400,364900,365900,368000,370800,372400
40215,Pacoima,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,51,387100,390400,394100,396800,398700,400500,403500,407500,410400,411900,414800,415200,412600
116625,Mira Mesa,San Diego,CA,San Diego,San Diego,52,336400,338100,341300,344100,346000,346800,348700,353500,358200,360900,363800,367800,371900
276215,Blossom Valley,San Jose,CA,San Jose,Santa Clara,53,440800,448900,453000,457700,461500,463800,467400,472100,476800,486300,500800,513400,520300
403169,West Rogers Park,Chicago,IL,Chicago,Cook,54,121400,123400,123700,124400,125700,126400,127400,128800,130200,130800,130800,130500,131000
