RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
192689,Paradise,Las Vegas,NV,Las Vegas,Clark,1,204900,207700,209700,211200,213400,216000,218200,221100,224600,228000,230700,232900,234500
112345,Maryvale,Phoenix,AZ,Phoenix,Maricopa,2,149300,150300,151100,152200,154000,155800,156800,158100,160300,162200,163600,165300,166900
270958,Upper West Side,New York,NY,New York,New York,3,3190200,3211500,3245100,3334900,3410300,3457300,3474100,3452600,3361200,3274800,3219100,3161800,3089600
27080,Sherman Oaks,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4,935800,941700,946800,952600,956600,960500,966000,974100,985900,996500,1003400,1007000,1009000
118208,South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5,419700,427000,435100,441400,446200,449400,451400,454900,461700,467400,471700,475200,477500
270957,Upper East Side,New York,NY,New York,New York,6,3334200,3407900,3446100,3497700,3599100,3702200,3719600,3729900,3738800,3663000,3471400,3284200,3175200
192820,Sunrise Manor,Las Vegas,NV,Las Vegas,Clark,7,161500,163300,165100,167200,169600,171700,173000,174500,177100,180400,183000,184500,185700
194430,East New York,New York,NY,New York,Kings,8,396700,406400,414800,420400,424300,427100,428300,429700,431600,434700,439300,441600,440500
192796,Spring Valley,Las Vegas,NV,Las Vegas,Clark,9,225400,226800,228800,231200,234000,236800,239600,242800,246200,249500,252500,254700,256500
268496,Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,10,354200,359300,365200,369700,372000,373300,374100,376100,379400,382500,386300,389200,389500
112547,Paradise Valley,Phoenix,AZ,Phoenix,Maricopa,11,268900,270300,271700,273200,275300,277200,278300,279400,281500,283700,284200,284100,285100
111818,Deer Valley,Phoenix,AZ,Phoenix,Maricopa,12,215300,216800,218200,219600,221300,223300,225000,226600,228400,230000,230600,231100,231900
41466,Van Nuys,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,13,556700,558000,560700,562300,560500,558500,558400,561200,566300,570600,575700,581600,585400
273698,Far North,Dallas,TX,Dallas-Fort Worth,Dallas,14,328000,332300,336100,338000,339100,339400,338800,339400,341800,344300,346000,346900,347300
32059,Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,15,877800,886400,890600,895900,904300,909800,909300,912200,923200,938000,951800,956900,953300
273566,East Side,El Paso,TX,El Paso,El Paso,16,113300,113100,112700,112500,112500,112700,112600,112600,113100,113500,113500,113900,114300
267908,Camelback East,Phoenix,AZ,Phoenix,Maricopa,17,336700,338300,340700,342500,344200,346300,348900,351600,354800,358500,360300,361100,363400
275473,Southeast Dallas,Dallas,TX,Dallas-Fort Worth,Dallas,18,99100,99600,100400,101100,101700,102300,102700,103400,104900,106200,108400,110900,112600
25294,Jamaica,New York,NY,New York,Queens,19,417200,420900,425600,428500,431100,431200,430600,432700,437800,442400,444900,445000,446000
275237,Roosevelt,Fresno,CA,Fresno,Fresno,20,171400,172500,174600,176600,178700,180900,182600,183900,185200,187100,189200,191100,192600
274742,North Scottsdale,Scottsdale,AZ,Phoenix,Maricopa,21,495800,497100,498400,502100,506300,509100,510200,510400,510500,510700,511300,513700,517000
194379,East Flatbush,New York,NY,New York,Kings,22,480900,481400,482600,486100,491400,494900,496200,497500,501200,505600,509000,511000,511500
35521,Enterprise,Las Vegas,NV,Las Vegas,Clark,23,234900,237200,239600,242200,244900,246900,248600,251100,254900,258900,261900,263600,264800
273565,East San Jose,San Jose,CA,San Jose,Santa Clara,24,610800,619500,628000,639100,648200,654000,660500,668800,678100,691000,708900,728400,741700
273555,East Memphis-Colonial-Yorkshire,Memphis,TN,Memphis,Shelby,25,110500,110900,111100,111500,111900,112500,113000,113900,114600,115200,115800,116500,117300
275456,South Side,Corpus Christi,TX,Corpus Christi,Nueces,26,165600,166200,166800,167500,167600,167700,167700,168100,168800,169600,169800,170100,170400
46795,North Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,27,541200,543400,545900,550500,556800,559900,559000,561200,568900,575800,581400,587100,591100
273088,Bullard,Fresno,CA,Fresno,Fresno,28,240300,242700,245400,247700,249500,251100,252400,253800,255500,256900,257700,259300,261600
274514,Mid City,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,29,905600,910800,919600,925400,930400,941800,956500,967200,971200,981100,1001200,1015400,1017100
193285,Bensonhurst,New York,NY,New York,Kings,30,843900,852600,860400,862100,859200,852200,845300,844200,846900,847300,848000,852100,855100
