RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
27080,Sherman Oaks,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1,380700,384000,387900,391300,395100,397400,396700,397500,402600,406900,409800,412600,414900
118208,South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2,337000,343100,349300,353400,358300,362400,364300,365300,367400,368500,373200,380200,384300
270957,Upper East Side,New York,NY,New York,New York,3,796900,799100,804300,823200,858800,893300,914400,926800,930500,932800,935500,942500,949700
192820,Sunrise Manor,Las Vegas,NV,Las Vegas,Clark,4,56800,57500,57300,57800,59500,61600,62800,63400,64000,65500,65900,66100,67200
192796,Spring Valley,Las Vegas,NV,Las Vegas,Clark,5,81000,82300,83600,84900,85700,86100,87100,88700,90900,94000,96600,97700,98100
268496,Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,6,298400,304500,309500,314900,320600,323600,324600,327300,333000,338700,342600,345000,346400
112547,Paradise Valley,Phoenix,AZ,Phoenix,Maricopa,7,132500,133200,133300,132600,133700,136000,137800,138800,140700,143700,146000,146400,147200
111818,Deer Valley,Phoenix,AZ,Phoenix,Maricopa,8,78600,79100,80000,81500,83300,84900,86500,87200,87200,87700,88300,89100,90100
273698,Far North,Dallas,TX,Dallas-Fort Worth,Dallas,9,127400,128700,130500,131900,133800,135300,138400,142200,145500,145900,146000,146700,147600
32059,Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,10,515800,515300,514400,513400,515100,520300,526500,526300,523200,527100,537900,546400,551900
267908,Camelback East,Phoenix,AZ,Phoenix,Maricopa,11,111200,112400,114200,115200,115900,116900,118500,119500,121100,122400,123400,124500,125800
275237,Roosevelt,Fresno,CA,Fresno,Fresno,12,64500,63700,63000,62800,63500,64300,66800,69900,71400,72300,74700,77200,78400
35521,Enterprise,Las Vegas,NV,Las Vegas,Clark,13,124800,128700,128800,124300,120600,122300,127800,131100,133800,136400,138500,139700,141300
273555,East Memphis-Colonial-Yorkshire,Memphis,TN,Memphis,Shelby,14,67800,68600,70100,70200,69400,69900,71800,70900,67300,64400,63900,63800,63900
46795,North Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,15,303400,308400,309800,309300,310800,310200,308200,308000,309200,310300,314100,318300,322800
273088,Bullard,Fresno,CA,Fresno,Fresno,16,90800,91200,92600,92600,92600,94400,97900,99800,102600,106500,110100,110900,110400
274514,Mid City,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,17,488400,486500,485300,489300,493500,496400,499200,505000,512000,520800,526600,526300,522700
268236,Koreatown,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,18,297500,302400,310000,309500,306200,305300,304800,305300,308900,314200,322500,333900,344200
276652,West San Jose,San Jose,CA,San Jose,Santa Clara,19,591100,606700,611300,611800,611500,607800,607000,610000,611700,621700,641000,654400,659400
276476,North Long Beach,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,20,307600,308200,308400,310100,314000,315900,318800,323600,326000,328900,330900,325500,319400
270875,Lower East Side,New York,NY,New York,New York,21,805600,821500,843100,857900,881600,910400,938000,953900,960800,958600,964500,969700,971800
269592,Logan Square,Chicago,IL,Chicago,Cook,22,188800,191500,191900,191600,189900,189300,193100,197800,200200,202300,205200,206800,207900
273480,Downtown,San Jose,CA,San Jose,Santa Clara,23,600600,606900,611600,617300,622600,628100,632800,638000,647800,663000,679400,693500,701700
113886,Boyle Heights,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,24,337700,342000,346200,348600,350600,354000,358600,362600,364400,366300,373600,381900,384500
274756,North Valley,San Jose,CA,San Jose,Santa Clara,25,477200,479000,473100,463600,455800,449800,449500,454400,461000,470200,483200,498500,509600
115003,Evergreen,San Jose,CA,San Jose,Santa Clara,26,452800,467800,476600,477200,472100,470000,472200,472700,472100,475900,483600,492500,500200
34213,Sylmar,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,27,363300,366900,366400,365600,367600,369800,369500,369900,370000,369500,372400,378500,381300
118987,Willow Glen,San Jose,CA,San Jose,Santa Clara,28,517200,534500,551500,567900,577800,582200,588500,598900,610800,625800,645800,667200,680600
343228,Southwest,Chula Vista,CA,San Diego,San Diego,29,179800,178700,181200,181900,178600,178700,184200,189000,190200,191400,192200,193000,194700
270829,East Village,New York,NY,New York,New York,30,928000,940900,971500,1021200,1066000,1104300,1153300,1196500,1205000,1201200,1214400,1242600,1262900
40215,Pacoima,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,31,335700,335400,335300,334200,334500,335000,338200,343900,345500,345300,349300,356700,361800
116625,Mira Mesa,San Diego,CA,San Diego,San Diego,32,224100,225500,226400,230000,236200,240500,241400,242800,245200,248400,250900,255100,260400
276215,Blossom Valley,San Jose,CA,San Jose,Santa Clara,33,438400,448600,459200,469200,475100,479400,486700,494900,500800,509300,522300,535100,543900
403169,West Rogers Park,Chicago,IL,Chicago,Cook,34,92400,92200,92000,93000,94100,95000,96100,97500,98200,98800,99300,99800,100600
40548,Reseda,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,35,215700,216300,219000,221100,223000,229500,240600,250800,256700,256200,249600,248100,253700
114074,Cambrian Park,San Jose,CA,San Jose,Santa Clara,36,446100,448800,449700,449300,449000,450800,457600,465800,473600,485800,504300,522600,532700
275424,South Dorchester,Boston,MA,Boston,Suffolk,37,250300,253200,257600,261700,266100,270800,274100,275600,275800,275500,278900,283700,286600
246678,Princess Anne,Virginia Beach,VA,Virginia Beach,Virginia Beach City,38,157700,157600,156800,157700,159000,159700,159500,161200,163000,163200,161400,159900,159800
48516,Wilmington,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,39,322400,324900,327300,328000,327900,328400,329900,330500,331500,333700,342900,357100,367000
273540,East Colorado Springs,Colorado Springs,CO,Colorado Springs,El Paso,40,131600,133500,135600,137900,140200,141800,143100,145400,148100,150200,152000,154200,155700
197044,Park Slope,New York,NY,New York,Kings,41,744900,756600,779500,814000,842000,851900,865300,892400,915600,930700,949300,967500,980700
274552,Mission,San Francisco,CA,San Francisco,San Francisco,42,829700,833200,840600,847100,850800,852400,855900,859900,864700,871000,882300,883500,876700
269566,Albany Park,Chicago,IL,Chicago,Cook,43,147200,145500,143900,143700,141800,138600,136200,136000,136400,136800,137500,138900,140500
417478,Green Run,Virginia Beach,VA,Virginia Beach,Virginia Beach City,44,103500,103900,103500,103700,105000,105600,106100,106600,106500,107200,109100,110500,111000
118920,Westwood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,45,557400,558000,562200,566900,572600,580300,585000,588800,596300,608100,619400,625100,623700
273201,Central Colorado Springs,Colorado Springs,CO,Colorado Springs,El Paso,46,134800,136500,138700,140100,141200,143200,145200,147000,148900,151000,152900,155600,158300
273860,Gramercy,New York,NY,New York,New York,47,776500,784900,797500,809100,828000,854900,891000,919500,930900,933300,939900,950700,963100
273794,Fresno High Roeding,Fresno,CA,Fresno,Fresno,48,97800,98100,98700,100300,103800,107600,110400,112700,114100,115300,116400,117900,119400
275707,The Heights,Jersey City,NJ,New York,Hudson,49,235900,238400,243700,251600,256800,259700,262800,268700,277800,286900,291200,289500,285600
244707,Kempsville,Virginia Beach,VA,Virginia Beach,Virginia Beach City,50,82300,80100,79200,79300,80400,81300,81400,81600,82300,82400,81900,81600,81800
269072,Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,51,115800,116300,116800,119800,123800,125700,126700,127700,129600,131800,132600,131600,131100
54232,Roxbury,Boston,MA,Boston,Suffolk,52,279700,284000,288600,289700,290500,291900,301600,316100,321500,317800,321000,322500,319100
267912,Central City,Phoenix,AZ,Phoenix,Maricopa,53,182300,185900,188700,192400,195200,195000,194200,195000,198000,201600,203400,203500,204200
274346,Lone Mountain,Las Vegas,NV,Las Vegas,Clark,54,95800,94900,96800,100500,104900,108400,110800,112400,113900,116200,118600,120400,122100
275609,Summerlin North,Las Vegas,NV,Las Vegas,Clark,55,88600,89700,90500,93500,97200,98800,99300,101500,103800,106600,110600,112900,111600
273496,Downtown,Memphis,TN,Memphis,Shelby,56,133700,132900,131800,131700,132000,132400,132800,134000,135900,137400,138100,139000,139900
117557,Rancho Penasquitos,San Diego,CA,San Diego,San Diego,57,226300,228000,230900,235000,238900,243500,247300,249800,252600,256900,259900,263200,265800
275306,Santa Teresa,San Jose,CA,San Jose,Santa Clara,58,394000,397500,400000,403300,405900,409700,415600,421800,431100,444700,457000,469700,480700
118673,University City,San Diego,CA,San Diego,San Diego,59,310600,313600,316600,319200,320800,322200,323000,324200,325000,326400,329400,334800,338600
269589,Lake View,Chicago,IL,Chicago,Cook,60,180900,184100,185900,186700,185900,184100,181800,181000,181600,183000,183600,184300,185300
48570,Woodland Hills,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,61,301700,303900,306700,309000,310400,310400,311200,313900,318200,322600,326400,328200,329000
274835,Oak Lawn,Dallas,TX,Dallas-Fort Worth,Dallas,62,191300,189600,190100,192500,193800,194300,197000,200200,202300,203400,204500,205200,205400
115609,Highland Park,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,63,519900,528500,532400,536500,542200,546300,550700,561200,574800,580200,584300,594800,604700
117183,Palms,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,64,561900,565200,569700,580700,591700,602900,612800,617400,619200,622900,628200,637000,643200
276450,Mid City West,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,65,489900,495200,502300,510000,516000,518600,520600,524600,527400,532100,542900,551100,551700
51906,Encino,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,66,255700,257000,258200,258700,259700,260600,260100,259000,258700,260300,265200,269800,271600
48200,Valencia,Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,67,276300,279400,282500,284700,285500,286600,289400,293800,298800,302500,305400,308900,311400
195133,Greenwich Village,New York,NY,New York,New York,68,1093200,1097100,1105300,1114300,1129100,1171800,1233100,1247500,1217900,1174300,1143900,1141100,1155600
275127,Rancho Bernardo,San Diego,CA,San Diego,San Diego,69,243700,245800,248000,251100,253400,255300,260100,266100,269500,272200,274800,277400,279900
114914,El Sereno,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,70,355900,359300,363400,373700,383400,389800,395200,401500,405400,408600,412300,418400,423000
269588,Jefferson Park,Chicago,IL,Chicago,Cook,71,117700,116900,116600,117500,118400,118400,118100,117500,117500,117300,117200,115800,114100
272756,Almaden Valley,San Jose,CA,San Jose,Santa Clara,72,412500,420700,427800,436000,441200,442500,449100,460500,470700,479200,490300,502200,510000
269228,Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,73,145100,145600,146500,146000,144800,144800,143900,143900,145100,146000,146900,147800,148000
123423,Allapattah,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,74,96900,100500,102700,104800,107300,108000,107200,109600,116900,124100,124100,121700,121600
273140,Carmel Valley,San Diego,CA,San Diego,San Diego,75,346200,344900,346400,354800,366900,376100,381700,383100,381800,385300,393200,401700,406800
154399,East Boston,Boston,MA,Boston,Suffolk,76,376300,376700,376600,383000,394500,402200,405000,409000,411200,413700,416000,416200,415100
268938,Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,77,226000,225200,223700,222400,221700,221800,222700,224200,227100,229000,228500,226600,225400
274517,Mid Wilshire,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,78,405000,411400,421100,429100,434700,434900,431300,430300,432900,434200,436000,440200,442800
116415,Mar Vista,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,79,506600,506100,508600,516300,524100,525100,524500,529000,536300,542900,550300,553900,552500
