RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
274772,Northeast Dallas,Dallas,TX,Dallas-Fort Worth,Dallas,1,450600,450500,452900,455300,456200,456800,456600,456800,459100,462600,465000,465500,466000
192689,Paradise,Las Vegas,NV,Las Vegas,Clark,2,266900,269400,271700,274500,277200,278400,279600,282200,286000,290500,294200,296500,297700
112345,Maryvale,Phoenix,AZ,Phoenix,Maricopa,3,163600,164700,165200,165700,166700,168300,169800,171200,172900,174200,174900,176000,177500
270958,Upper West Side,New York,NY,New York,New York,4,5996400,5905300,5797100,5658000,5491000,5363700,5283400,5180100,5095300,4923900,4650900,4391300,4270000
27080,Sherman Oaks,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5,1347600,1354700,1358600,1363400,1370800,1375500,1375100,1379000,1387400,1400900,1410700,1412200,1410200
118208,South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,6,463200,469400,474800,479700,484300,488200,491300,496000,503700,511000,517600,523700,527900
192820,Sunrise Manor,Las Vegas,NV,Las Vegas,Clark,7,192200,193800,195900,198700,201600,204500,208100,211700,214700,217200,219600,221700,223700
192796,Spring Valley,Las Vegas,NV,Las Vegas,Clark,8,280200,281300,282800,284900,287300,289800,292000,294500,297900,301900,305200,307100,308300
268496,Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,9,376900,380800,385600,390400,394800,398300,401600,406000,410700,413500,416300,418700,419900
112547,Paradise Valley,Phoenix,AZ,Phoenix,Maricopa,10,400700,400400,401200,404200,407300,410000,412400,414400,416100,418000,419500,422500,425900
111818,Deer Valley,Phoenix,AZ,Phoenix,Maricopa,11,283600,284500,285800,287000,288600,290400,291700,293400,296000,298900,300700,301800,302800
41466,Van Nuys,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,12,604500,608400,613000,615000,615700,616600,617200,619600,626100,631900,637600,644400,649500
267955,North Mountain,Phoenix,AZ,Phoenix,Maricopa,13,231000,232800,234600,236000,237600,239600,240900,241900,243700,247000,249700,251300,252400
