RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
274772,Northeast Dallas,Dallas,TX,Dallas-Fort Worth,Dallas,1,671600,668800,672300,672500,668100,662800,658200,658000,662500,668100,674500,670900,661000
192689,Paradise,Las Vegas,NV,Las Vegas,Clark,2,343500,346000,349200,353500,357700,359800,360300,361600,364500,368300,372300,375800,378400
27080,Sherman Oaks,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3,1888500,1876400,1872200,1872100,1863100,1852400,1857500,1870100,1879000,1919600,1994500,2051800,2061600
118208,South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4,508500,515900,525600,535000,543000,546700,548700,552300,558700,566700,575300,579800,580000
192820,Sunrise Manor,Las Vegas,NV,Las Vegas,Clark,5,294300,296300,296800,298700,301400,303100,305300,310200,316100,322600,325800,325600,325700
192796,Spring Valley,Las Vegas,NV,Las Vegas,Clark,6,394800,396400,398500,400800,403300,406100,408300,409600,412300,417000,420800,421400,421800
268496,Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,7,413100,416300,421900,429800,437600,440700,440400,442400,448400,453200,454200,456800,461700
112547,Paradise Valley,Phoenix,AZ,Phoenix,Maricopa,8,549500,548600,548600,551500,556000,559100,561100,563400,567100,571300,572700,571700,572500
111818,Deer Valley,Phoenix,AZ,Phoenix,Maricopa,9,426000,425100,423700,424900,427700,430200,431800,432200,433500,436200,436900,437600,440200
41466,Van Nuys,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,10,648800,652700,659300,664400,669400,676000,682900,690300,697500,707100,720600,731900,735800
267955,North Mountain,Phoenix,AZ,Phoenix,Maricopa,11,432300,431300,429900,431400,434800,438500,441000,442100,442600,444400,446400,450000,453300
273698,Far North,Dallas,TX,Dallas-Fort Worth,Dallas,12,727100,725700,721900,719600,720700,718900,715900,719400,725800,731700,739500,742000,737700
32059,Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,13,1548000,1547900,1528600,1494000,1472500,1477000,1481400,1482000,1503000,1554700,1614500,1662800,1680400
267908,Camelback East,Phoenix,AZ,Phoenix,Maricopa,14,1092600,1087900,1093000,1099600,1104900,1110200,1111900,1113900,1126000,1132400,1129000,1127700,1136900
272734,Alhambra,Phoenix,AZ,Phoenix,Maricopa,15,649000,655000,653600,652900,657600,660700,660000,662000,664200,666800,674700,681100,680200
275237,Roosevelt,Fresno,CA,Fresno,Fresno,16,281700,283700,286700,289200,290800,291100,290900,291600,293700,294300,293100,293600,296000
274742,North Scottsdale,Scottsdale,AZ,Phoenix,Maricopa,17,1009600,1003100,994800,987700,987300,992700,1001000,1006900,1008700,1009300,1009700,1009800,1010700
35521,Enterprise,Las Vegas,NV,Las Vegas,Clark,18,422700,424800,427900,432000,436600,440000,441400,443900,447800,451700,454800,457000,458100
273565,East San Jose,San Jose,CA,San Jose,Santa Clara,19,719000,733200,745600,757800,764900,768500,772300,777900,787100,802900,820900,836400,846400
267971,South Mountain,Phoenix,AZ,Phoenix,Maricopa,20,282400,284200,285000,284800,285100,284900,285200,286800,289300,291300,293000,294300,296500
275456,South Side,Corpus Christi,TX,Corpus Christi,Nueces,21,305700,305300,305800,305900,305200,304800,304800,304900,305100,306100,307900,314200,321600
46795,North Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,22,643900,648100,652600,659000,667200,673800,678300,684200,693000,699800,707000,715500,720200
28380,Alief,Houston,TX,Houston,Harris,23,186300,185500,185700,188300,194900,197200,194100,192700,193800,194200,194600,194700,194900
273088,Bullard,Fresno,CA,Fresno,Fresno,24,468000,471600,479900,486700,491800,496500,500800,503100,506000,512900,519700,525600,530200
268236,Koreatown,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,25,1121600,1149400,1177100,1178400,1172500,1167900,1153800,1146900,1158200,1164800,1180700,1208200,1227300
276652,West San Jose,San Jose,CA,San Jose,Santa Clara,26,1798900,1825100,1850700,1875500,1887000,1898000,1918400,1943400,1971100,2016600,2073500,2125800,2155800
276659,White Haven-Coro Lake,Memphis,TN,Memphis,Shelby,27,111300,112100,113400,113800,113700,114300,115000,115100,115000,114500,113800,113700,114400
276476,North Long Beach,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,28,513800,519300,523000,526700,531900,536500,538400,542600,548400,552300,557200,561000,561700
271511,Northwest,El Paso,TX,El Paso,El Paso,29,347700,347000,346800,347800,348600,350400,351800,353000,354600,355300,355800,356600,356400
275467,Southeast,Arlington,TX,Dallas-Fort Worth,Tarrant,30,245200,247000,249100,251000,253200,254500,255200,256700,257600,257600,258900,260500,260700
269592,Logan Square,Chicago,IL,Chicago,Cook,31,418200,420300,419400,419300,419000,416600,416800,417800,413000,411000,414200,420200,425800
275090,Preston Hollow,Dallas,TX,Dallas-Fort Worth,Dallas,32,1504100,1492500,1499100,1510700,1509500,1508000,1507400,1509100,1517700,1525000,1521500,1508800,1500100
